net,length_um
net189,430.45
u_multiplier.partial_sum\[47\],429.8
net44,429.16
net770,428.88
_06657_,428.725
net83,428.12
net66,427.1
u_multiplier.partial_sum\[66\],426.06
u_exp_compare.ProdASC\[27\],425.9
_07851_,425.82
_07423_,425.66
net843,425.55
net681,424.18
clknet_2_0_0_clk,423.93
_05318_,423.36
net363,422.82
u_multiplier.partial_sum\[60\],421.98
_06984_,421.67
net154,421.46
_05720_,421.175
_04444_,420.935
_04325_,419.51
net106,417.795
u_multiplier.partial_sum\[32\],417.71
u_multiplier.partial_carry\[25\],417.41
u_multiplier.partial_carry\[79\],417.34
u_multiplier.partial_carry\[57\],417.19
net373,416.94
_08585_,415.88
_03141_,415.69
u_multiplier.partial_carry\[70\],415.235
_05423_,415.16
net32,415.1
u_align.Aligned_C\[147\],413.045
clknet_4_7__leaf_clk,412.14
u_multiplier.partial_carry\[69\],411.86
net34,410.1
net69,409.99
net114,409.5
_02264_,408.7
u_multiplier.partial_carry\[28\],408.65
u_multiplier.partial_carry\[68\],407.86
_00482_,407.76
u_multiplier.partial_carry\[67\],407.6
_07946_,407.51
u_component_formatter.A_in\[30\],406.67
_07539_,406
u_multiplier.partial_sum\[73\],405.72
u_multiplier.partial_carry\[72\],405.66
u_multiplier.partial_sum\[28\],405.27
net85,405.2
_03610_,404.83
u_align.Aligned_C\[136\],404.72
_09146_,404.68
net3,404.435
u_align.Aligned_C\[71\],404.22
net111,403.94
u_align.ExpDiff\[27\],403.72
_00433_,403.59
_04635_,403.57
u_multiplier.partial_sum\[16\],402.86
net52,402.14
_06644_,402.07
u_component_formatter.A_in\[11\],401.88
_12682_,401.54
u_multiplier.partial_sum\[52\],401.255
net87,400.32
net160,400.26
_12987_,400.07
net174,400.035
_06228_,399.06
_06588_,398.23
_07232_,398.15
net23,397.26
net59,397.06
u_component_formatter.C_sign\[3\],396.43
net173,396.29
u_align.Aligned_C\[94\],395.86
u_multiplier.partial_carry\[32\],395.73
_10698_,395.7
_01879_,395.46
net60,395.46
_10022_,395.18
net161,394.935
u_align.Aligned_C\[153\],394.51
u_multiplier.partial_carry\[77\],394.48
u_multiplier.partial_sum\[21\],393.96
_12871_,392.94
_00621_,392.88
net195,392.88
_05978_,392.86
u_multiplier.partial_carry\[16\],392.52
net22,392.48
_00659_,391.64
u_multiplier.partial_carry\[74\],390.475
_05425_,390.22
net168,389.975
_05373_,389.545
_10709_,389.32
_02267_,388.52
_12810_,387.76
u_multiplier.partial_carry\[91\],387.64
net113,385.66
_04706_,385.26
_01061_,384.76
net93,384.72
_07726_,383.65
_09118_,383.635
_04630_,383.6
u_align.Aligned_C\[103\],383.5
_10712_,383.175
u_align.ExpDiff\[17\],382.66
_05205_,381.47
u_multiplier.partial_carry\[35\],380.96
net790,380.83
net142,380.795
_07619_,380.775
_05412_,380.5
u_multiplier.partial_sum\[12\],380.28
_03674_,380.07
u_multiplier.partial_carry\[36\],380.06
_03315_,380.04
u_multiplier.partial_carry\[86\],379.86
_03289_,379.83
u_multiplier.partial_sum\[2\],379.4
net118,379.22
u_align.Aligned_C\[151\],378.86
u_align.ExpDiff\[2\],378.69
_00785_,378.63
_06102_,377.95
_09850_,377.69
u_multiplier.partial_sum\[4\],377.59
_03520_,377.51
_05427_,376.72
u_multiplier.partial_sum\[100\],375.82
_05519_,375.54
_04924_,375.37
_08111_,374.8
u_exp_compare.ProdASC\[1\],374.58
net171,374.4
_09549_,372.54
_06109_,372.47
u_exp_compare.ProdASC\[18\],372.165
_05418_,372.025
u_multiplier.partial_sum\[3\],370.62
net112,370.28
_01062_,369.58
_04955_,369.31
net30,368.15
net117,367.72
u_align.Aligned_C\[110\],367.48
net75,367.46
u_align.Aligned_C\[44\],366.92
net182,366.845
_09765_,366.44
u_exp_compare.ProdASC\[20\],365.94
_05211_,365.58
u_multiplier.partial_sum\[6\],365.575
net134,364.96
net9,364.91
net79,364.77
u_exp_compare.MaxExp\[28\],364.46
net187,364.36
_04391_,362.86
u_multiplier.partial_carry\[21\],362.835
net14,362.7
_03586_,362.46
net727,362.08
net828,361.69
u_multiplier.partial_sum\[61\],361.46
u_multiplier.partial_carry\[20\],360.99
u_align.Aligned_C\[48\],360.02
u_component_formatter.A_in\[28\],359.82
_04714_,359.23
net53,358.88
_04131_,358.39
_10824_,358.13
_09585_,357.5
net105,357.46
u_multiplier.partial_sum\[67\],357.19
_05111_,357.15
_05615_,357.02
_03107_,356.18
_06515_,355.82
_06520_,354.71
net598,354.5
_04417_,354.05
net132,353.9
u_align.Aligned_C\[18\],353.12
_08322_,352.59
_04431_,352.49
_07814_,352.44
_05972_,352.36
_08757_,352.23
net759,351.87
_01068_,351.72
u_multiplier.partial_sum\[1\],351.545
net196,351.53
_06986_,351.41
net63,351.36
_05314_,350.9
u_align.Aligned_C\[146\],349.67
u_multiplier.partial_sum\[19\],349.565
_02064_,349.29
_01886_,349.07
net370,348.74
_10193_,347.705
u_align.ExpDiff\[6\],346.735
net96,346.68
u_align.Aligned_C\[60\],346.32
_02262_,345.98
clknet_4_4__leaf_clk,345.67
_07230_,344.96
u_component_formatter.B_in\[46\],344.48
_07248_,344.31
net40,344.04
u_multiplier.partial_sum\[90\],343.82
_07544_,343.76
net122,343.66
_06663_,343.25
u_exp_compare.ProdASC\[55\],343.12
net45,342.78
net97,342.28
net72,341.9
_04632_,341.6
u_align.Aligned_C\[56\],341.505
u_align.Aligned_C\[92\],341.04
_07961_,340.955
_07277_,340.92
u_align.Aligned_C\[31\],340.9
_04535_,340.67
u_multiplier.partial_carry\[64\],340.52
net619,340.46
u_align.Aligned_C\[144\],340.42
_05428_,340.005
clknet_4_2__leaf_clk,339.72
u_multiplier.partial_sum\[10\],339.675
net136,339
net88,338.58
net197,338.45
_09134_,338.025
net431,337.35
_00822_,337.29
u_align.Aligned_C\[100\],337.16
u_multiplier.partial_sum\[79\],336.92
_05539_,336.82
net8,336.66
u_align.Aligned_C\[159\],336.13
u_component_formatter.B_in\[44\],335.57
_06658_,335.45
_00995_,334.9
u_align.Aligned_C\[96\],334.7
_08465_,334.69
_02702_,334.37
_06512_,334.31
clknet_4_10__leaf_clk,334.3
_08148_,334.175
_02257_,333.42
u_multiplier.partial_sum\[27\],333.32
u_multiplier.partial_sum\[0\],332.89
_02253_,332.72
_03316_,332.645
_07835_,332.24
net54,331.03
_10441_,330.82
net71,330.7
clknet_4_6__leaf_clk,330.64
_05797_,330.13
_06656_,330.04
u_align.Aligned_C\[9\],329.7
u_align.Aligned_C\[46\],329.02
u_multiplier.partial_sum\[13\],328.91
net10,328.38
u_align.Aligned_C\[43\],328.08
_04778_,328.04
_04747_,327.89
net25,327.88
u_align.Aligned_C\[23\],327.1
u_multiplier.partial_sum\[24\],326.83
u_align.Aligned_C\[50\],326.46
_02383_,326.39
_05969_,325.27
net425,325.1
_05225_,324.615
u_align.Sign_Inv\[0\],324.14
_05012_,324.1
net43,323.98
_07840_,323.92
u_exp_compare.ProdASC\[25\],323.85
u_align.Aligned_C\[76\],323.32
_04607_,322.87
_03539_,322.8
u_align.Aligned_C\[121\],322.56
u_align.Aligned_C\[38\],322.28
net104,321.92
net445,321.28
net742,321.13
_04141_,320.92
u_align.Aligned_C\[72\],320.58
u_sign_logic.Sign_AB\[2\],320.52
net91,320.18
_07707_,320.07
_04737_,319.985
u_align.Aligned_C\[101\],319.68
net50,319.38
u_align.Aligned_C\[11\],318.74
_06414_,318.71
_00981_,318.61
_06985_,318.61
_07508_,318.39
_07836_,317.96
_00925_,317.48
_09054_,317.25
_08146_,317.09
_04318_,317.02
