net,length_um
_20862_,301.29
_20715_,301.265
u_stage1.B_reg\[47\],300.39
net44,300.18
u_stage1.partial_products_sum\[8\],300.15
_05596_,300.11
u_stage4.Result_comb\[48\],299.88
_01642_,299.59
_14292_,299.02
_11808_,298.89
_21008_,298.53
_14339_,298.5
_06166_,298.3
net127,297.5
u_stage1.Aligned_C\[154\],297.35
_02470_,297.16
u_stage1.MaxExp\[21\],296.7
_02077_,296.55
_08164_,296.21
_09026_,296.09
net261,295.92
u_stage1.MaxExp\[23\],295.72
u_stage1.Aligned_C\[146\],295.49
_14259_,295.4
_04109_,295.39
_20859_,295.19
u_stage1.MaxExp\[22\],295.12
_01765_,294.83
_04410_,294
_02019_,293.75
_03501_,293.59
_17599_,292.935
_14781_,292.89
_21032_,292.89
_10924_,292.49
u_stage1.MaxExp\[26\],291.74
net185,291.68
_04115_,291.445
_10963_,291.33
_14307_,291.15
_03858_,290.995
_15242_,290.75
_04655_,290.46
net96,290.32
u_stage1.B_reg\[44\],289.78
_02662_,288.65
_14565_,287.69
_06956_,287.45
_11157_,287.045
_17416_,286.26
_02618_,286.19
_15414_,285.715
net477,285.7
net468,285.69
_01112_,285.46
_03785_,284.79
_05356_,284.72
_04105_,284.715
u_stage1.B_reg\[13\],284.45
_02487_,283.83
net93,283.67
net360,283.48
_09462_,283
_15498_,282.62
u_stage1.Aligned_C\[148\],282.38
_16067_,281.98
_20651_,281.63
_21176_,281.62
u_stage3.LZA_CNT_s3\[1\],281.57
_17396_,281.3
_14374_,280.88
u_stage1.Aligned_C\[147\],280.88
u_stage1.Sign_AB\[3\],280.84
_10757_,280.305
_07393_,280
_10749_,279.96
_02307_,279.575
u_stage1.MaxExp\[24\],279.3
_03788_,279.275
u_stage1.B_reg\[36\],279.235
u_stage1.MaxExp\[18\],279.11
_15693_,279.02
net65,279.01
u_stage1.MaxExp\[20\],278.86
_21174_,278.785
u_stage1.B_reg\[38\],278.475
_10972_,278.355
_07710_,278.27
_05527_,278.14
net183,278.08
_11790_,277.945
_01810_,277.605
_17440_,277.48
_04607_,277.32
_14763_,277.31
u_stage1.A_reg\[28\],277.155
_07378_,276.66
net101,276.26
_10961_,276.12
_05794_,276.04
_14327_,275.725
_10926_,275.7
_02980_,275.34
_15077_,275.18
u_stage1.A_reg\[47\],274.46
_11160_,274.36
_15832_,274.22
_08178_,274.21
_18403_,273.97
u_stage1.B_reg\[57\],273.94
_16605_,273.86
_14255_,273.2
u_stage1.MaxExp\[25\],272.48
_02375_,272.15
_01783_,272.08
u_stage1.partial_products_sum\[14\],272.07
_14748_,271.76
_06918_,271.655
_14751_,271.5
_02394_,271.41
_04359_,271.24
_02314_,271.205
_02704_,271.01
u_stage1.Aligned_C\[156\],270.61
_06264_,270.5
_18175_,270.04
_10983_,269.89
_01512_,269.76
_10970_,268.86
u_stage1.Aligned_C\[153\],268.77
_17901_,268.29
_11781_,268.1
_14620_,267.81
_15839_,267.15
_20913_,266.65
_10957_,266.6
_15078_,266.57
net180,266.26
_04337_,265.875
net66,265.76
_20896_,265.59
_01785_,265.395
_20188_,265.2
_01846_,265.185
_02194_,264.98
_02004_,264.96
_16833_,264.69
_03489_,264.59
_10978_,264.49
_15635_,264.46
_01938_,264.36
_16279_,264.33
_02213_,264.31
_11155_,264.04
_04800_,263.98
_14335_,263.97
_20797_,263.89
u_stage1.A_reg\[41\],263.63
_11798_,263.34
u_stage4.Result_comb\[54\],263.32
_14740_,262.75
_20400_,262.69
_21205_,262.565
_02477_,262.44
net469,262.36
_14330_,262.28
_06992_,262.19
net220,262.16
_20743_,262.02
_06181_,261.98
_15654_,261.89
u_stage1.A_reg\[8\],261.71
u_stage1.MaxExp\[19\],261.46
u_stage1.Aligned_C\[152\],261.36
_20356_,261.29
_15781_,261.27
_02292_,261.125
_04301_,261.1
_00879_,260.96
_01406_,260.9
_02635_,260.49
net10,260.43
u_stage1.B_reg\[54\],260.16
_17537_,260.1
u_stage3.Add_Rslt_s3\[23\],259.98
_01786_,259.6
_02863_,259.16
_02632_,258.77
_04608_,258.7
_13798_,257.72
_20915_,257.62
_14270_,257.28
_20345_,257.215
_14752_,257.19
_14578_,256.76
_01314_,256.69
_21011_,256.6
_20854_,256.58
_17437_,256.38
_15888_,256.24
_14342_,255.94
_17429_,255.88
_20436_,255.83
_04264_,255.78
_10760_,255.66
_02624_,255.56
_14764_,255.44
_15207_,255.09
_05513_,254.91
_15588_,254.91
_02548_,254.65
_04300_,254.62
net54,254.38
_04569_,253.59
_15934_,253.48
_17593_,253
_05535_,252.99
_17880_,252.945
_12414_,252.85
u_stage3.LZA_CNT_s3\[13\],252.83
u_stage1.partial_products_sum\[12\],252.4
u_stage3.LZA_CNT_s3\[3\],252.39
_15206_,252.26
_11789_,252.14
_04472_,252
u_stage1.Aligned_C\[150\],251.61
u_stage1.Aligned_C\[151\],251.48
_02290_,251.47
u_stage3.LZA_CNT_s3\[2\],251.14
_02311_,251
_01645_,250.87
_10908_,250.54
_01569_,250.42
_10910_,250.28
_01377_,250.2
_02206_,249.96
_20326_,249.6
_10977_,249.53
net57,249.5
_15496_,249.35
net286,249.32
u_stage1.A_reg\[7\],249.03
_01815_,248.71
_19573_,248.66
_14333_,248.57
u_stage1.A_reg\[22\],248.56
_03862_,248.43
u_stage4.Result_comb\[30\],248.26
_06352_,248.165
_04248_,248.12
_03784_,247.41
_02562_,247.24
_14326_,247.23
_16308_,247.18
_11540_,247.17
_03221_,246.72
_01678_,246.71
_02100_,246.57
_14277_,246.32
net414,246.25
_02010_,246.19
_00649_,245.89
_04375_,245.77
_17465_,245.69
u_stage1.MaxExp\[17\],245.54
_17289_,245.5
_15562_,245.19
u_stage1.B_reg\[2\],245.18
_15501_,245.07
_11265_,244.73
net411,244.65
_20523_,244.56
_06174_,244.48
_21153_,244.42
_00890_,244.38
net382,244.3
_04231_,244.16
u_stage1.A_reg\[14\],244.05
_06633_,243.98
_11236_,243.87
net16,243.86
_13702_,243.64
_20411_,243.51
_11278_,243.14
u_stage1.ProdASC\[33\],243.03
_04128_,242.695
u_stage1.cnt,242.64
_00876_,242.58
_21277_,242.36
_15574_,242.25
_01801_,242.06
_02467_,242.01
_14356_,241.56
_20444_,241.47
_03389_,241.44
net452,241.39
_15491_,241.29
_20976_,241.11
u_stage1.A_reg\[40\],240.975
_20917_,240.95
u_stage1.B_reg\[30\],240.94
_12651_,240.87
_06467_,240.635
_15432_,240.38
u_stage1.A_reg\[17\],240.04
_04392_,240.02
_14250_,239.94
_07704_,239.66
_20470_,239.61
_00854_,239.59
_15534_,239.52
_18214_,239.52
_04677_,239.49
u_stage1.ProdASC\[32\],239.43
_07125_,239.34
_00877_,239.2
_11367_,238.5
_02787_,238.48
_17320_,238.44
_11372_,238.35
_06849_,238.26
_11193_,238.15
u_stage1.B_reg\[53\],237.82
_17435_,237.635
_10889_,237.54
_07108_,237.29
_12589_,236.81
_06674_,236.68
net211,236.64
_01483_,236.38
_01615_,236.31
_18197_,236.28
u_stage1.Aligned_C\[157\],236.17
_21150_,236.11
_04165_,235.57
_20718_,235.46
_01903_,235.44
_14880_,235.42
_14743_,235.41
_15452_,235.18
_16014_,235.17
_08367_,235.1
_04358_,235.06
_15667_,234.97
u_stage3.LZA_CNT_s3\[0\],234.77
_01315_,234.33
_04129_,234.26
_02025_,233.64
_15828_,233.63
_03326_,233.215
_20373_,233.12
_17600_,233.01
_01627_,232.805
_11163_,232.69
_14731_,232.55
_01646_,232.525
_17367_,231.96
_11146_,231.87
_01670_,231.63
_04975_,231.535
_15666_,231.465
_17222_,231.35
_10876_,231.18
_14349_,231.16
_12299_,230.98
_06222_,230.86
_04974_,230.59
_07869_,230.38
_20530_,230.37
_11223_,230.25
_04233_,230.21
_21040_,230.18
_03773_,230.15
_05565_,229.79
_08350_,229.77
_05273_,229.5
_07202_,229.15
_11472_,229.09
_17828_,229.05
u_stage1.A_reg\[59\],229.04
_14589_,229
_05359_,228.92
_05505_,228.76
_17268_,228.72
u_stage1.A_reg\[1\],228.19
u_stage4.Result_comb\[55\],228.02
_18966_,227.83
_14284_,227.75
_01685_,227.57
_20370_,227.27
_15539_,227.13
_15829_,226.69
_11323_,226.66
_03477_,226.52
